id,tip,naziv,pravo_ime,vesolje,razmerje,naslov,izdaja,leto,mesec

Doctor_Eternity_(Earth-616),Character,Doctor Eternity,Unknown,Earth-616,,Captain America Comics,22,1943,January

Doctor_Molinari_(Earth-616),Character,Doctor Molinari,Molinari (First name unrevealed),Earth-616,,Fantastic Four,78,1968,September

Doctor_Octopus%27_Tentacles,Item,,,,,Amazing Spider-Man,3,1963,July

Doctor_Parker_(Earth-616),Character,Doctor Parker,Parker (First name unrevealed),Earth-616,,Tales to Astonish,1,1959,January

Doctor_Smithson_(Earth-77013),Character,Dr. Smithson,Smithson (full name unrevealed),Earth-77013,Married,Spider-Man Newspaper Strips,2005,2005,

Doctor_Thaxton_(Earth-616),Character,Doctor Thaxton,Doctor Thaxton,Earth-616,,Spectacular Spider-Man Magazine,1,1968,July

Doctor_Van_Eyck_(Earth-616),Character,Doctor Van Eyck,Doctor Van Eyck,Earth-616,,Daredevil,9,1965,August

Donald_Birch_(Earth-616),Character,Donald Birch,Donald Birch,Earth-616,Single,Tales of Suspense,63,1965,March

Donald_Blake_(Earth-616),Character,Donald Blake,Donald Blake,Earth-616,Single,Journey into Mystery,83,1962,August

Donald_Blake_(Earth-70766),Character,Donald Blake,Donald Blake,Earth-70766,Single,Thor,178,1970,July

Donald_Grant_(Earth-616),Character,Donald Grant,Donald Grant,Earth-616,Married,Meet Miss Bliss,1,1955,May

Donald_Jones_(Earth-616),Character,Ape,Donald Jones,Earth-616,,Tales to Astonish,45,1963,July

Donna_Garth_(Earth-616),Character,Donna Garth Mason,Donna Garth,Earth-616,Married,Menace,5,1953,July

Don_Hammond_(Earth-616),Character,Don Hammond,Don Hammond,Earth-616,Single,Patsy Walker,88,1960,April

Don_Hertz_(Earth-616),Character,Iron Mask,Don Hertz ,Earth-616,,Kid Colt Outlaw,110,1963,May

Don_Reinman_(Earth-616),Character,The Black,Don Reinman ,Earth-616,,All Winners Comics,3,1941,Winter

Don_Wilson_(Earth-616),Character,Don Wilson,Don Wilson,Earth-616,Married,Kid Colt Outlaw,104,1962,May

Doombot,Item,,,,,Fantastic Four,5,1962,July

Doomsday_Man_(Earth-616),Character,Doomsday Man,Unknown,Earth-616,,Silver Surfer,13,1970,February

Doomstadt,Location,,,,,Fantastic Four Annual,2,1964,September

Doormat_Noonan_(Earth-616),Character,Doormat Noonan,Doormat Noonan,Earth-616,Single,Patsy Walker,80,1958,December

Dora_Livingstone_(Earth-616),Character,Dora Livingstone,Dora Livingstone,Earth-616,Single,Young Allies,2,1941,Winter

Dorian_Murdstone_(Earth-616),Character,Sorcerer,Dorian Murdstone,Earth-616,,Strange Tales,109,1963,June

Doris_Evans_(Earth-616),Character,Dorrie Evans,Doris Evans,Earth-616,Divorced,Strange Tales,113,1963,October

Doris_Raxton_(Earth-616),Character,Doris Allan,Doris Raxton,Earth-616,Married,Amazing Spider-Man,28,1965,September

Dormammu_(Earth-616),Character,Dormammu,Dormammu,Earth-616,Single,Strange Tales,126,1964,November

Dorrek_VII_(Earth-616),Character,Emperor Dorrek VII,Dorrek VII,Earth-616,Married,Fantastic Four,18,1963,September

Doug_Lewis_(Earth-616),Character,Doug Lewis,Doug Lewis,Earth-616,Single,My Love,1,1969,September

Dragonklaw_(Earth-928),Character,Dragonklaw,Unknown,Earth-928,Single,Ravage 2099,5,1993,April

Dragon_Man_(Earth-616),Character,Dragon Man,Dragon Man,Earth-616,Single,Fantastic Four,35,1965,February

Dragoom_(Earth-616),Character,Dragoom,Dragoom,Earth-616,,Strange Tales,76,1960,August

Dreamstalker_(Earth-616),Character,Dreamstalker,Dreamstalker,Earth-616,Single,Strange Tales,110,1963,July

Drearcliff_Cemetery,Location,,,,,Captain America,113,1969,May

Drom_(Asgardian)_(Earth-616),Character,Drom the Spirit-Weaver,Drom,Earth-616,,Thor King-Size Special,2,1966,September

Droom_(Earth-616),Character,Droom,Droom,Earth-616,,Tales to Astonish,9,1960,May

Druffs,Race,,,,,Fantastic Four,37,1965,April

Duke_Shores_(Earth-616),Character,Duke Shores,Duke Shores,Earth-616,,Captain America Comics,16,1942,July

Durok_(Earth-616),Character,Durok the Demolisher,Durok,Earth-616,,Thor,191,1971,August

Dwarves_of_Nidavellir,Race,,,,,Journey into Mystery,103,1964,April

Earth_Orbit,Location,,,,,Fantastic Four,20,1963,November

Ebenezer_Laughton_(Earth-616),Character,Scarecrow,Ebenezer Laughton,Earth-616,Single,Tales of Suspense,51,1964,March

Ebony_(Earth-616),Character,Ebony,Ebony,Earth-616,,Fantastic Four,94,1970,January

Ebony_Blade,Item,,,,,Black Knight,1,1955,May

Ecce_(Earth-616),Character,Watcher,Ecce,Earth-616,Single,Thor,168,1969,September

Edna_Andrews_(Earth-616),Character,Edna McCoy,Edna Andrews,Earth-616,Married,X-Men,15,1965,December

Edward_Bentley_(Earth-616),Character,Edward Bentley,Edward Bentley,Earth-616,,Journey into Mystery,82,1962,July

Edward_Brock_(Earth-77013),Character,Venom,Edward Brock,Earth-77013,,Spider-Man Newspaper Strips,2007,2007,

Edward_Leeds_(Earth-616),,Ned Leeds,"Edward ""Ned"" Leeds",Earth-616,Married,Amazing Spider-Man,18,1964,November

Edward_Morgo_(Earth-616),Character,Edward Morgo,Edward Morgo,Earth-616,,Amazing Adult Fantasy,8,1962,January

Edwin_Aldrin_Jr_(Earth-616),Character,Buzz Aldrin,"Edwin Aldrin, Jr.",Earth-616,Married,Fantastic Four,98,1970,May

Edwin_Jarvis_(Earth-616),Character,Edwin Jarvis,Edwin Jarvis,Earth-616,Single,Tales of Suspense,59,1964,November

Egg-Head_(Earth-616),Character,Egg-Head,Unknown,Earth-616,,Young Allies,4,1942,Summer

Egghead%27s_Android_(Earth-616),Character,Egghead's Android,Egghead's Android,Earth-616,,Tales to Astonish,61,1964,November

Ego%27s_Anti-bodies,Race,,,,,Thor,133,1966,October

Ego_(Earth-616),Character,Ego the Living Planet,Egros ,Earth-616,Single,Thor,132,1966,September

Elaine_Grey_(Earth-616),Character,Elaine Grey,Elaine Grey,Earth-616,Married,X-Men,5,1964,May

Elan,Race,,,,,Fantastic Four,24,1964,March

Elastika_(Earth-534834),Character,Elastika,Unknown,Earth-534834,Single,"Silence My Companion, Death My Destination",,1994,October

Elbert_Dribble_(Earth-616),Character,Elbert Dribble,Elbert Dribble,Earth-616,Single,Patsy and Hedy,79,1961,December

Elders_of_the_Universe_(Earth-616),Team,,,,,Avengers,28,1966,May

Electro-Shock_Pistol,Item,,,,,Fantastic Four,84,1969,March

Electronic_Mass_Influencer,Item,,,,,X-Men,3,1964,January

Elendil_(Earth-616),Character,Hellhorse,Elendil,Earth-616,Single,Tales to Astonish,52,1964,February

Eleonore_Brant_(Earth-616),Character,Eleonore Brant,Eleonore Brant,Earth-616,,Amazing Spider-Man,2,1963,May

Elias_Weems_(Earth-616),Character,Time Master,Elias Weems,Earth-616,,Tales to Astonish,43,1963,May

Elihas_Starr_(Earth-616),Character,Egghead,Elihas Starr,Earth-616,Single,Tales to Astonish,38,1962,December

Eliot_Franklin_(Clown)_(Earth-616),Character,Eliot Franklin,Eliot Franklin,Earth-616,Single,Incredible Hulk,3,1962,September

Elixir_of_Recovery,Item,,,,,Journey into Mystery,124,1966,January

Elizabeth_Allan_(Earth-616),,,,,,Amazing Fantasy,15,1962,August

Elizabeth_Brant_(Earth-616),,Betty Brant,"Elizabeth ""Betty"" Brant",Earth-616,Widowed,Amazing Spider-Man,4,1963,September

Elizabeth_Ross_(Earth-600026),,Betty Ross,"Elizabeth ""Betty"" Ross",Earth-600026,Single,The Origin of the Hulk / Enter the Gorgon / To Be A Man,,1966,

Elizabeth_Ross_(Earth-616),Character,Harpy,"Elizabeth ""Betty"" Ross Talbot Banner",Earth-616,Divorced,Incredible Hulk,1,1962,May

Elizabeth_Taylor_(Earth-616),Character,Elizabeth Taylor,Elizabeth Rosemond Taylor,Earth-616,Married,Patsy and Hedy,86,1963,February

Ellen_Day_(Earth-77013),Character,Ellen Day,Ellen Day,Earth-77013,Divorced,Spider-Man Newspaper Strips,1978,1978,

El_Dorado_(City),Location,,,,,Avengers,30,1966,July

Embla_(Earth-616),Character,Embla,Embla,Earth-616,Married,Journey into Mystery,103,1964,April

Emil_Blonsky_(Earth-616),Character,Abomination,Emil Blonsky,Earth-616,Separated,Tales to Astonish,90,1967,April

Emil_Blonsky_(Earth-70766),Character,Abomination,Emil Blonsky,Earth-70766,,Thor,178,1970,July

Emissaries_of_Evil_(Electro)_(Earth-616),Team,,,,,Daredevil Annual,1,1967,September

Emma_Frost_(Earth-71016),Character,Emma Frost,Emma Frost,Earth-71016,,The Last Fantastic Four Story,1,2007,October

Emnu_(Earth-616),Character,Emnu,Emnu,Earth-616,,Tales of Suspense,53,1964,May

Empire_State_University,Location,,,,,Amazing Spider-Man,1,1963,March

Enchanters_(Earth-616),Team,,,,,Thor,143,1967,August

Enforcers_(Earth-616),Team,,,,,Amazing Spider-Man,10,1964,March

Erica_Wolfmann_(Earth-616),Character,Agent 2,Erica Wolfmann,Earth-616,,Tales of Suspense,72,1965,December

Eric_Gruning_(Earth-616),Character,Eric Gruning,Eric Gruning,Earth-616,,Captain America,102,1968,June

Eric_Koenig_(Earth-616),Character,Eric Koenig,Eric Koenig,Earth-616,,Sgt Fury and his Howling Commandos,27,1966,February

Eric_Schwinner_(Earth-616),Character,Dr. Eric Schwinner,Eric Schwinner,Earth-616,,Amazing Fantasy,15,1962,August

Erik_Gorbo_(Earth-616),Character,Monster Ape,Erik Gorbo,Earth-616,Single,Captain America,135,1971,March

Erik_Josten_(Earth-616),Character,Atlas,Erik Stephan Josten,Earth-616,Single,Avengers,21,1965,October

Ernesto_%26_Luigi_Gambonno_(Earth-616),Character,Great Gambonnos,Ernesto & Luigi Gambonno,Earth-616,Single,Amazing Spider-Man,16,1964,September

Ernst_Mueller_(Earth-616),Character,Ernst Mueller,Ernst Mueller,Earth-616,,Sgt Fury and his Howling Commandos,14,1965,January

Esteban_Coraz%C3%B3n_de_Ablo_(Earth-616),Character,Diablo,Esteban Corazón de Ablo,Earth-616,Single,Fantastic Four,30,1964,September

Eternals_of_Eyung,Race,,,,,Fantastic Four,113,1971,August

Eternity_(Earth-616),Character,Eternity,Unknown,Earth-616,Single,Strange Tales,138,1965,November

Eugene_Thompson_(Earth-616),Character,Agent Anti-Venom,"Eugene ""Flash"" Thompson",Earth-616,Divorced,Amazing Fantasy,15,1962,August

Eugene_Thompson_(Earth-77013),Character,Flash Thompson,Eugene Thompson,Earth-77013,Single,Spider-Man Newspaper Strips,1977,1977,

Eugene_Thompson_(Earth-TRN251),Character,Flash Thompson,Eugene Thompson,Earth-TRN251,Single,LeapPad: The Amazing Spider-Man,1,2004,

European_Union,Location,,,,,Avengers,58,2002,November

Evelyn_Hawley_(Earth-616),Character,Lady Evelyn Hawley,Lady Evelyn Hawley,Earth-616,Married,Sgt Fury and his Howling Commandos,4,1963,November

Everglades,Location,,,,,Amazing Spider-Man,6,1963,November

Evil_Eye,Item,,,,,Fantastic Four,54,1966,September

Excalibur_(Sword),Item,,,,,Black Knight,1,1955,May

Exiles_(Earth-616),Team,,,,,Tales of Suspense,41,1963,May

Experiment_247_(Earth-616),Character,Experiment 247,Unknown,Earth-616,,Tales to Astonish,1,1959,January

Experiment_XYZ_(Earth-616),Character,Experiment XYZ,Unknown,Earth-616,,Tales to Astonish,1,1959,January

Eye_of_Agamotto,Item,,,,,Strange Tales,127,1964,December

Fafnir_(Nastrond)_(Earth-616),Character,Fafnir,Fafnir,Earth-616,Single,Thor,134,1966,November

Fairies_(Otherworld),Race,,,,,Black Knight,1,1955,May

Fandral_(Earth-616),Character,Fandral the Dashing,Fandral,Earth-616,Widowed,Journey into Mystery,119,1965,August

Fandral_(Earth-77013),Character,Fandral,Fandral,Earth-77013,,Spider-Man Newspaper Strips,2012,2012,

Fantasti-Flare,Item,,,,,Fantastic Four,1,1961,November

Fantastical_Four_(Earth-665),Team,,,,,Not Brand Echh,1,1967,August

Fantastic_Four_(Earth-1102),Team,,,,,What If?,200,2011,February

Fantastic_Four_(Earth-616),Team,,,,,Fantastic Four,1,1961,November

Fantastic_Four_Uniforms,Item,,,,,Fantastic Four,3,1962,March

Farbauti_(Earth-616),Character,Farbauti,Farbauti,Earth-616,Married,Young Avengers,10,2013,November

Farley_Stillwell_(Earth-616),Character,Farley Stillwell,Farley Stillwell,Earth-616,,Amazing Spider-Man,20,1965,January

Farnsworth_Estate,Location,,,,,Tales of Suspense,32,1962,August

Farnsworth_Safe_and_Vault_Building,Location,,,,,Tales of Suspense,6,1959,November

Fatal_Finnegan_(Earth-616),Character,Fatal Finnegan,Unknown,Earth-616,,Fantastic Four,15,1963,June

Fellowship_of_Fear_(Earth-616),Team,,,,,Daredevil,6,1965,February

Fenris_Wolf_(Earth-616),Character,Fenris Wolf,Fenris Wolf,Earth-616,Single,Journey into Mystery,114,1965,March

Fentom_Farnum_(Earth-616),Character,Fentom Farnum,Fentom Farnum,Earth-616,,Tales to Astonish,67,1965,May

Fernusans,Race,,,,,Tales of Suspense,51,1964,March

Ferret_(Earth-616),Character,Ferret,Ferret,Earth-616,,Captain America,107,1968,November

Fidel_Castro_(Earth-616),Character,Fidel Castro,Fidel Castro,Earth-616,,Tales of Suspense,91,1967,July

Figaro_(Dog)_(Earth-616),Character,Figaro,Figaro,Earth-616,,Patsy and Hedy,89,1963,August

Fin_Fang_Foom_(Earth-616),Character,Fin Fang Foom,Unknown,Earth-616,Single,Strange Tales,89,1961,October

Fireproof_Natives_(Earth-616),Team,,,,,Fantastic Four,9,1962,December

Fire_Demons,Race,,,,,Journey into Mystery,97,1963,October

Fire_Giants,Race,,,,,Journey into Mystery,97,1963,October

Flame-Eater_(Earth-616),Character,Flame-Eater,Flame-Eater,Earth-616,,Fantastic Four,14,1963,May

Flash_Carter_(Earth-616),Character,Flash Carter,,Earth-616,,Two-Gun Kid,47,1959,April

Flint_(Goon)_(Earth-616),Character,Flint,Flint,Earth-616,,Amazing Spider-Man,50,1967,July

Flippo_Jones_(Earth-616),Character,Flippo Jones,Flippo Jones,Earth-616,,Amazing Adult Fantasy,10,1962,March

Flora_colossi,Race,,,,,Tales to Astonish,13,1960,November

Flying_Trolls_of_Thryhem,Race,,,,,Journey into Mystery,124,1966,January

Fogwell%27s_Gym,Location,,,,,Daredevil,1,1964,April

Fong_(Earth-616),Character,Captain Fong,Fong,Earth-616,,Amazing Spider-Man,88,1970,September

Forest_Hills,Location,,,,,Amazing Fantasy,15,1962,August

Forsung_(Earth-616),Character,Forsung,Unknown,Earth-616,,Thor,143,1967,August

Four-Armed_Men_(Earth-616),Race,,,,,Tales to Astonish,26,1961,December

Fox-People,Race,,,,,Tales of Suspense,54,1964,June

Foxy_Briggs_(Earth-616),Character,Foxy Briggs,Foxy Briggs,Earth-616,,Amazing Spider-Man,31,1965,December

Francisco_Lobo_(Earth-616),Character,Lucky Lobo,Francisco Lobo,Earth-616,Single,Amazing Spider-Man,23,1965,April

Franklin_Nelson_(Earth-616),,Foggy Nelson,"Franklin Percy ""Foggy"" Nelson ",Earth-616,Divorced,Daredevil,1,1964,April

Franklin_Richards_(Earth-616),Character,Powerhouse,Franklin Benjamin Richards,Earth-616,Single,Fantastic Four Annual,6,1968,November

Franklin_Richards_(Earth-71016),Character,Franklin Richards,Franklin Richards,Earth-71016,,The Last Fantastic Four Story,1,2007,October

Franklin_Richards_(Earth-8466),Character,Franklin Richards,Franklin Richards,Earth-8466,Single,Fantastic Four: The Lost Adventure,1,2008,April

Franklin_Storm_(Earth-616),Character,Franklin Storm,Franklin Storm,Earth-616,Widowed,Fantastic Four,31,1964,October

Frank_Castle_(Earth-77013),Character,Punisher,Frank Castle,Earth-77013,Widowed,Spider-Man Newspaper Strips,2004,2004,

Frank_Farnum_(Earth-616),Character,Masked Marauder,Frank Farnum,Earth-616,,Daredevil,16,1966,May

Frank_Johnson_(Rorgg)_(Earth-616),Character,Frank Johnson,Frank Johnson,Earth-616,Married,Journey into Mystery,64,1961,January

Frank_Oliver_(Earth-616),Character,Kangaroo,Frank Oliver,Earth-616,Single,Amazing Spider-Man,81,1970,February

Frank_Smith_(Earth-616),Character,Wrecker,Frank Smith ,Earth-616,,Tales to Astonish,63,1965,January

Frank_Yarrow_(Earth-616),Character,Dakota Kid,Frank Yarrow,Earth-616,,Quick-Trigger Western,15,1956,December

Franz_Anton_(Earth-616),Character,Franz Anton,Franz Anton,Earth-616,,Avengers,30,1966,July

Franz_Cadavus_(Earth-616),Character,Franz Cadavus,Franz Cadavus,Earth-616,Single,Captain America,102,1968,June

Franz_Gruber_(Earth-616),Character,Baron Zemo,Franz Gruber,Earth-616,,Avengers,6,1964,July

Franz_Radzik_(Earth-616),Character,Gorilla-Man,Franz Radzik,Earth-616,Single,Tales to Astonish,28,1962,February

Frederick_Dukes_(Earth-616),Character,Blob,"Frederick ""Fred"" J. Dukes",Earth-616,Single,X-Men,3,1964,January

Frederick_Duncan_(Earth-616),Character,Fred Duncan,"Frederick ""Fred"" Amos Duncan",Earth-616,Single,X-Men,2,1963,November

Frederick_Foswell_(Earth-616),Character,Big Man,"Frederick Foswell, Sr.",Earth-616,Married,Amazing Spider-Man,10,1964,March

Frederick_Myers_(Earth-616),Character,Boomerang,"Frederick ""Fred"" Myers",Earth-616,Separated,Tales to Astonish,81,1966,July

Frederick_von_Banger_(Earth-616),Character,Frederick von Banger,Frederick von Banger,Earth-616,,Mystic Comics,6,1941,October

Fred_Cooper_(Earth-616),Character,Fred Cooper,Fred Cooper,Earth-616,Single,Tales to Astonish,24,1961,October

Freeze_Grenade,Item,,,,,Fantastic Four Annual,2,1964,September

Freyja_Freyrdottir_(Earth-616),Character,All-Mother Freyja,Frigga,Earth-616,Married,Journey into Mystery,92,1963,May

Frightful_Four_(Earth-616),Team,,,,,Fantastic Four,36,1965,March

Fritz_Flootzendootzen_(Earth-616),Character,Fritz Flootzendootzen,Fritz Flootzendootzen,Earth-616,,Young Allies,1,1941,Summer

Fritz_von_Sydow_(Earth-616),Character,Fritz von Sydow,Fritz von Sydow,Earth-616,,Sgt Fury and his Howling Commandos,14,1965,January

Frost_Giants,Race,,,,,Venus,6,1949,August

Future_Man_(Earth-616),Character,Future Man,Unknown,Earth-616,,All Winners Comics,21,1946,Winter

G%27uranthic_Guardian_(Earth-616),Character,G'uranthic Guardian,G'uranthic Guardian,Earth-616,,Strange Tales,126,1964,November

Gabriel_Jones_(Earth-616),Character,Gabe Jones,"Gabriel ""Gabe"" Jones",Earth-616,Single,Sgt Fury and his Howling Commandos,1,1963,May

Galactus_(Earth-1102),Character,Galactus,Galactus,Earth-1102,,What If?,200,2011,February

Galactus_(Earth-71016),Character,Galactus,Galactus,Earth-71016,Single,The Last Fantastic Four Story,1,2007,October

Galactus_(Earth-7888),Character,Galactus,Galactus,Earth-7888,,Fireside Book Series,11,1979,

Galan_(Earth-616),Character,Galactus,Galan,Earth-616,Single,Fantastic Four,48,1966,March

Galaxy_Master_(Earth-616),Character,Galaxy Master,Unknown,Earth-616,,Incredible Hulk,111,1969,January

Galp_(Asgardian)_(Earth-616),Character,Galp of the Steel Arm,Galp,Earth-616,,Thor King-Size Special,2,1966,September

Gamma_Ray_Projector,Item,,,,,Incredible Hulk,2,1962,July

Gamma_Ray_Research_Center,Location,,,,,Amazing Spider-Man Annual,3,1966,November

Gargantus_(Alien_Robot)_(Earth-616),Character,Gargantus,Gargantus,Earth-616,,Tales of Suspense,40,1963,April

Gary_Buser_(Earth-616),Character,Shellshock,Gary Buser,Earth-616,,Fantastic Four Annual,5,1967,November

Gary_Gallant_(Earth-616),Character,Gary Gallant,Gary Gallant,Earth-616,Single,Patsy Walker,114,1964,April

Gayle_Tempest_(Earth-77013),Character,Crimson Cloak,Gayle Tempest,Earth-77013,Single,Spider-Man Newspaper Strips,2002,2002,

Geirrodur_(Earth-616),Character,Geirrodur,Geirrodur,Earth-616,Married,Journey into Mystery,101,1964,February

General_Cartwright_(Earth-616),Character,General Cartwright,Cartwright,Earth-616,,Daredevil,14,1966,March

General_Fang_(Earth-616),Character,General Fang,Fang,Earth-616,,Incredible Hulk,5,1963,January

General_Fu_(Earth-616),Character,General Fu,Fu (First name unrevealed),Earth-616,,Journey into Mystery,93,1963,June

General_Wo_(Earth-616),Character,General Wo,Wo,Earth-616,,Tales of Suspense,61,1965,January

Gene_Colan_(Earth-616),Character,Gene Colan,Eugene Colan,Earth-616,,Daredevil Annual,1,1967,September

Geoffrey_Vandergill_(Earth-616),Character,Geoffrey Worthington Vandergill,Geoffrey Worthington Vandergill,Earth-616,,Young Allies,1,1941,Summer

Georges_Batroc_(Earth-616),Character,Batroc the Leaper,Georges Batroc,Earth-616,Single,Tales of Suspense,75,1966,March

George_Bentley_(Earth-616),Character,George Bentley,George Bentley,Earth-616,,Strange Tales,103,1962,December

George_Carter_(Earth-616),Character,Sheriff George Carter,George Carter,Earth-616,,Tales to Astonish,13,1960,November

George_Grey_(Earth-616),Character,George Grey,George Grey,Earth-616,,Daredevil,3,1964,August

George_Harrison_(Earth-616),Character,George Harrison,George Harrison,Earth-616,Single,Strange Tales,130,1965,March

George_Stacy_(Earth-616),,Captain Stacy,George Stacy,Earth-616,Married,Amazing Spider-Man,56,1968,January

George_Stonewell_(Earth-616),Character,George Stonewell,George Stonewell,Earth-616,,Sgt Fury and his Howling Commandos,6,1964,March

George_Tarleton_(Earth-616),Character,George Tarleton,George Tarleton,Earth-616,Single,Tales of Suspense,93,1967,September

George_Washington_(Earth-616),Character,George Washington,George Washington,Earth-616,Married,Blonde Phantom Comics,13,1947,Spring

Gerald_Marsh_(Earth-616),Character,Protector,Gerald Marsh,Earth-616,,Tales to Astonish,37,1962,November

Gerda_(Earth-616),Character,Gerda,Gerda,Earth-616,,Thor,313,1981,November

Gerhard_Winkler_(Earth-616),Character,Gerhard Winkler,Gerhard Winkler,Earth-616,Single,Amazing Spider-Man,59,1968,April

Ghan_(Earth-616),Character,Ghan,Ghan,Earth-616,,Journey into Mystery,115,1965,April

Ghazandi_(Earth-616),Character,Ghazandi,Ghazandi,Earth-616,,Tales to Astonish,47,1963,September

Giant-Man%27s_Suit,Item,,,,,Tales to Astonish,49,1963,November

Giant_One_(Earth-616),Character,Giant One,Unknown,Earth-616,,Amazing Spider-Man,108,1972,May

Giant_Squids,Race,,,,,Tales to Astonish,70,1965,August

Gigantians,Race,,,,,Fantastic Four,115,1971,October

Giganto_(Atlantean_Beast),Race,,,,,Fantastic Four,4,1962,May

Giganto_(Deviant_Mutate)_(Earth-616),Character,Giganto,Giganto,Earth-616,Single,Fantastic Four,1,1961,November

Gigantus_(Earth-616),Character,Gigantus,Gigantus,Earth-616,,Journey into Mystery,63,1960,December

Gigantus_(Planet),Location,,,,,Fantastic Four,115,1971,October

Gil_Parker_(Earth-616),Character,Gil Parker,Gil Parker,Earth-616,Single,Patsy Walker,75,1958,February

Giuletta_Nefaria_(Earth-616),Character,Madame Masque,Giuletta Kristina Nefaria,Earth-616,Single,Tales of Suspense,97,1968,January

Gjallerhorn,Item,,,,,Journey into Mystery,104,1964,May

Glade_of_Crystals,Location,,,,,Thor,136,1967,January

Glenn_Talbot_(Earth-616),Character,Colonel Glenn Talbot,Glenn Talbot,Earth-616,Divorced,Tales to Astonish,61,1964,November

Gloom_Room_A-Go-Go,Location,,,,,Amazing Spider-Man,59,1968,April

Goblin_Armor,Item,,,,,Amazing Spider-Man,14,1964,July

Goblin_Formula,Item,,,,,Amazing Spider-Man,40,1966,September

Gods,Race,,,,,Venus,1,1948,August

Gogo_(Earth-616),Character,Gogo,Unknown,Earth-616,,Tales to Astonish,66,1965,April

Golden_Angel_(Wrestler)_(Earth-616),Character,Golden Angel,Unknown,Earth-616,,Fantastic Four,14,1963,May

Golden_Gate_Bridge,Location,,,,,Young Allies,1,1941,Summer

Goliath_(Limbo)_(Earth-616),Character,Goliath,Goliath,Earth-616,,Avengers,10,1964,November

Gondolff_(Earth-616),Character,Gondolff,Gondolff,Earth-616,,Thor,159,1968,December

Googam_(Earth-616),Character,Googam,Googam,Earth-616,,Tales of Suspense,17,1961,May

Goom_(Earth-616),Character,Goom,Goom,Earth-616,Married,Tales of Suspense,15,1961,March

Gopher_Gap,Location,,,,,Rawhide Kid,20,1961,February

Gordon_Keefer_(Earth-616),Character,Ape-Man,Gordon Keefer,Earth-616,,Avengers,12,1965,January

Gorgilla_(Earth-616),,Gorgilla,Gorgilla,Earth-616,,Tales to Astonish,12,1960,October

Gorgi_Gruff_(Earth-616),Character,Gorgi Gruff,Gorgi Gruff,Earth-616,,Journey into Mystery,82,1962,July

Gorgon_(Earth-71016),Character,Gorgon,Gorgon,Earth-71016,Single,The Last Fantastic Four Story,1,2007,October

Gorgon_(Earth-78909),Character,Gorgon,Unknown,Earth-78909,,Medusa and the Inhumans,,1978,October

Gorgon_Petragon_(Earth-616),,Gorgon,Gorgon Petragon,Earth-616,Widowed,Fantastic Four,44,1965,November

Gorki_(Earth-616),Character,Gorki,Unknown,Earth-616,,Tales to Astonish,84,1966,October

Gorko_(Earth-616),Character,Gorko,Gorko,Earth-616,,Tales to Astonish,55,1964,May

Gormagga_Kraal_(Earth-616),Character,Gormagga Kraal,Gormagga Kraal,Earth-616,,Solarman,1,1989,January

Gorr_(Kronans)_(Earth-616),Character,Gorr,Gorr,Earth-616,,Journey into Mystery,83,1962,August

Gortmund,Location,,,,,Tales of Suspense,72,1965,December

Gotron_(Earth-616),Character,Gotron the Agile,Gotron,Earth-616,,Journey into Mystery,104,1964,May

Graeme_Striker_(Earth-928),Character,Dethstryk,Graeme Striker,Earth-928,Married,Marvel Comics Presents,117,1992,December

Grak_(Earth-616),Character,Grak,Grak,Earth-616,,Thor,137,1967,February

Grand_Vizier_(Asgard)_(Earth-616),Character,Grand Vizier,Unknown,Earth-616,,Journey into Mystery,120,1965,September

Granny_Gardenia_(Earth-616),Character,Granny Gardenia,Unknown,Earth-616,,Thor,141,1967,June

Grappler_Ray,Item,,,,,Fantastic Four,17,1963,August

Gray_Madder_(Earth-616),Character,Gray Madder,Gray Madder,Earth-616,,Amazing Spider-Man,600,2009,September

Great_White_Stone,Item,,,,,Diamond of Doom,,1978,November

Green_Berets_(Earth-928),Team,,,,,Ravage 2099,8,1993,July

Green_Thing_(Plant)_(Earth-616),Character,Green Thing,Unknown,Earth-616,,Tales of Suspense,19,1961,July

Gregory_Gideon_(Earth-616),Character,Gregory Gideon,Gregory Hungerford Gideon,Earth-616,Widowed,Fantastic Four,34,1965,January

Gregory_Grant_(Earth-616),Character,Gregory Grant,Gregory Grant,Earth-616,Single,Patsy and Hedy,77,1961,August

Gregor_Shapanka_(Earth-616),Character,Blizzard,Gregor Shapanka,Earth-616,Single,Tales of Suspense,45,1963,September

Gregson_Gilbert_(Earth-616),,Professor Gregson Gilbert,Gregson Gilbert,Earth-616,Single,Fantastic Four,35,1965,February

Greg_Strong_(Earth-616),Character,Greg Strong,Greg Strong,Earth-616,Single,Miss America,91,1958,July

Grizzly_(A.I.M.)_(Earth-616),Character,Grizzly,Unknown,Earth-616,,Captain America,120,1969,December

